experiment,feature_mode,use_se,seed,n_mels,n_mfcc,fmin,fmax,n_fft,hop_length,win_length,sr,dur_s,boundary_loss_weight,boundary_warmup_epochs,fusion_type,aux_gate_init,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_boundary_fold1_mctafd_no_se_w10_seed2024,mctafd,False,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,21,0.9416504584606835,0.8988095238095238,0.8997847919655666
cv5_boundary_fold1_mctafd_no_se_w10_seed3407,mctafd,False,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,1.0,5.0,,,21,0.949944382647386,0.9166666666666666,0.917352051427491
cv5_boundary_fold1_mctafd_no_se_w10_seed3407,mctafd,False,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,21,0.949944382647386,0.9166666666666666,0.917352051427491
cv5_boundary_fold1_mctafd_no_se_w10_seed3407,mctafd,False,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,21,0.949944382647386,0.9166666666666666,0.917352051427491
cv5_boundary_fold1_mctafd_no_se_w10_seed42,mctafd,False,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,1.0,5.0,,,31,0.9666666666666668,0.9345238095238095,0.9344401873137506
cv5_boundary_fold1_mctafd_no_se_w10_seed42,mctafd,False,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,31,0.9666666666666668,0.9345238095238095,0.9344401873137506
cv5_boundary_fold1_mctafd_no_se_w10_seed42,mctafd,False,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,31,0.9666666666666668,0.9345238095238095,0.9344401873137506
cv5_boundary_fold2_logmel_w02_seed2024,logmel,True,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.2,5.0,direct,-4.0,21,0.9580419580419581,0.9166666666666666,0.915903890160183
cv5_boundary_fold2_logmel_w02_seed2024,logmel,True,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,21,0.9580419580419581,0.9166666666666666,0.915903890160183
cv5_boundary_fold2_logmel_w02_seed2024,logmel,True,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,21,0.9580419580419581,0.9166666666666666,0.915903890160183
cv5_boundary_fold2_logmel_w02_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,23,0.9416504584606835,0.9345238095238095,0.9340384388036006
cv5_boundary_fold2_logmel_w02_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.2,5.0,direct,-4.0,23,0.9416504584606835,0.9345238095238095,0.9340384388036006
cv5_boundary_fold2_logmel_w02_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,23,0.9416504584606835,0.9345238095238095,0.9340384388036006
cv5_boundary_fold2_logmel_w02_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.2,5.0,direct,-4.0,29,0.9497767857142857,0.9285714285714286,0.927949628127113
cv5_boundary_fold2_logmel_w02_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,29,0.9497767857142857,0.9285714285714286,0.927949628127113
